Invoice,Invoice Date(MM/DD/YYYY),PO BU,PO ID,PO Line,PO Schedule,Manufacturer,Serial Number,Part#,Item Description,Vendor,Cost Type,Exhibit Quantity,Exhibit Unit Price,Exhibit Merchandise Amount,Rent Amount,Rent Rate Factor,PPT Uplift,PPT Rate Factor,Total Amount,Currency
0,,8801,37570,1,1,OLYMPUS_AM,,PCF-H190DL,PCF-H190DL W/ SCOPEGUIDE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,37570,1,1,OLYMPUS_AM,,PCF-H190DL,PCF-H190DL W/ SCOPEGUIDE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,37570,1,1,OLYMPUS_AM,,PCF-H190DL,PCF-H190DL W/ SCOPEGUIDE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,37570,1,1,OLYMPUS_AM,,PCF-H190DL,PCF-H190DL W/ SCOPEGUIDE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,37570,1,1,OLYMPUS_AM,,PCF-H190DL,PCF-H190DL W/ SCOPEGUIDE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,37570,1,1,OLYMPUS_AM,,PCF-H190DL,PCF-H190DL W/ SCOPEGUIDE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,37570,1,1,OLYMPUS_AM,,PCF-H190DL,PCF-H190DL W/ SCOPEGUIDE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,37570,1,1,OLYMPUS_AM,,PCF-H190DL,PCF-H190DL W/ SCOPEGUIDE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,37570,1,1,OLYMPUS_AM,,PCF-H190DL,PCF-H190DL W/ SCOPEGUIDE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,37570,2,1,OLYMPUS_AM,,MAJ-1430,MAJ-1430 VIDEOSCOPE CABLE EVIS EXERA II,100013063,,1,1824.76,1824.76,0,0,0,0,0,USD
0,,8801,37570,2,1,OLYMPUS_AM,,MAJ-1430,MAJ-1430 VIDEOSCOPE CABLE EVIS EXERA II,100013063,,1,1824.76,1824.76,0,0,0,0,0,USD
0,,8801,37570,2,1,OLYMPUS_AM,,MAJ-1430,MAJ-1430 VIDEOSCOPE CABLE EVIS EXERA II,100013063,,1,1824.76,1824.76,0,0,0,0,0,USD
0,,8801,37570,2,1,OLYMPUS_AM,,MAJ-1430,MAJ-1430 VIDEOSCOPE CABLE EVIS EXERA II,100013063,,1,1824.76,1824.76,0,0,0,0,0,USD
0,,8801,37570,2,1,OLYMPUS_AM,,MAJ-1430,MAJ-1430 VIDEOSCOPE CABLE EVIS EXERA II,100013063,,1,1824.76,1824.76,0,0,0,0,0,USD
0,,8801,37570,2,1,OLYMPUS_AM,,MAJ-1430,MAJ-1430 VIDEOSCOPE CABLE EVIS EXERA II,100013063,,1,1824.76,1824.76,0,0,0,0,0,USD
0,,8801,37570,2,1,OLYMPUS_AM,,MAJ-1430,MAJ-1430 VIDEOSCOPE CABLE EVIS EXERA II,100013063,,1,1824.76,1824.76,0,0,0,0,0,USD
0,,8801,37570,3,1,OLYMPUS_AM,,UCR,UCR ENDOSCOPIC CO2 REGULATION UNIT,100013063,,1,4170,4170,0,0,0,0,0,USD
0,,8801,37570,3,1,OLYMPUS_AM,,UCR,UCR ENDOSCOPIC CO2 REGULATION UNIT,100013063,,1,4170,4170,0,0,0,0,0,USD
0,,8801,37570,3,1,OLYMPUS_AM,,UCR,UCR ENDOSCOPIC CO2 REGULATION UNIT,100013063,,1,4170,4170,0,0,0,0,0,USD
