Invoice,Invoice Date(MM/DD/YYYY),PO BU,PO ID,PO Line,PO Schedule,Manufacturer,Serial Number,Part#,Item Description,Vendor,Cost Type,Exhibit Quantity,Exhibit Unit Price,Exhibit Merchandise Amount,Rent Amount,Rent Rate Factor,PPT Uplift,PPT Rate Factor,Total Amount,Currency
0,,8801,36642,1,1,OLYMPUS_AM,,PCF-H190DL,PCF-H190DL W/ SCOPEGUIDE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,36642,1,1,OLYMPUS_AM,,PCF-H190DL,PCF-H190DL W/ SCOPEGUIDE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,36642,1,1,OLYMPUS_AM,,PCF-H190DL,PCF-H190DL W/ SCOPEGUIDE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,36642,1,1,OLYMPUS_AM,,PCF-H190DL,PCF-H190DL W/ SCOPEGUIDE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,36642,1,1,OLYMPUS_AM,,PCF-H190DL,PCF-H190DL W/ SCOPEGUIDE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,36642,1,1,OLYMPUS_AM,,PCF-H190DL,PCF-H190DL W/ SCOPEGUIDE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,36642,1,1,OLYMPUS_AM,,PCF-H190DL,PCF-H190DL W/ SCOPEGUIDE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,36642,2,1,OLYMPUS_AM,,CF-HQ190L,CF-HQ190L EVIS EXERA III HD COLONOSCOPE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,36642,2,1,OLYMPUS_AM,,CF-HQ190L,CF-HQ190L EVIS EXERA III HD COLONOSCOPE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,36642,2,1,OLYMPUS_AM,,CF-HQ190L,CF-HQ190L EVIS EXERA III HD COLONOSCOPE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,36642,2,1,OLYMPUS_AM,,CF-HQ190L,CF-HQ190L EVIS EXERA III HD COLONOSCOPE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,36642,2,1,OLYMPUS_AM,,CF-HQ190L,CF-HQ190L EVIS EXERA III HD COLONOSCOPE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
0,,8801,36642,2,1,OLYMPUS_AM,,CF-HQ190L,CF-HQ190L EVIS EXERA III HD COLONOSCOPE,100013063,,1,35162.4,35162.4,0,0,0,0,0,USD
